title,author,secondary_author,illustrator,translators,series,lc_bib,naf_label,naf_lccn,genre,genre_uris,subject,subject_uris,lccn,oclc,isbn,date,creator_has_awards,creator_wiki,state,date_ban,ban_status,challenge_origin,district,marc_file
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Harlem (New York, N.Y.)--Fiction|Schools--Fiction|New York (N.Y.)--Fiction|Poetry slams--Fiction|High schools--Fiction|Family life--Fiction|Self-esteem--Fiction|Novels in verse|Large type books|Dominican Americans--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/authorities/childrensSubjects/sj2020050019|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj96006090,  2018060742,,9781432864583,2019,6,Q56811491,Texas,January 2023,Banned from Classrooms,Formal Challenge,Keller Independent School District,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Harlem (New York, N.Y.)--Fiction|Schools--Fiction|New York (N.Y.)--Fiction|Poetry slams--Fiction|High schools--Fiction|Family life--Fiction|Self-esteem--Fiction|Novels in verse|Large type books|Dominican Americans--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/authorities/childrensSubjects/sj2020050019|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj96006090,  2018060742,,9781432864583,2019,6,Q56811491,Texas,March 2023,Banned from Libraries,Informal Challenge,Lake Travis Independent School District,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Harlem (New York, N.Y.)--Fiction|Schools--Fiction|New York (N.Y.)--Fiction|Poetry slams--Fiction|High schools--Fiction|Family life--Fiction|Self-esteem--Fiction|Novels in verse|Large type books|Dominican Americans--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/authorities/childrensSubjects/sj2020050019|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj96006090,  2018060742,,9781432864583,2019,6,Q56811491,Utah,January 2023,Banned from Libraries,Formal Challenge,Davis School District,
The Poet X,"Acevedo, Elizabeth",,,,,20798480,"Acevedo, Elizabeth",no2011081225,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,"Harlem (New York, N.Y.)--Fiction|Schools--Fiction|New York (N.Y.)--Fiction|Poetry slams--Fiction|High schools--Fiction|Family life--Fiction|Self-esteem--Fiction|Novels in verse|Large type books|Dominican Americans--Fiction",http://id.loc.gov/authorities/childrensSubjects/sj96005444|http://id.loc.gov/authorities/childrensSubjects/sj2021051311|http://id.loc.gov/authorities/childrensSubjects/sj2021050350|http://id.loc.gov/authorities/childrensSubjects/sj2021052328|http://id.loc.gov/rwo/agents/n79007751|http://id.loc.gov/authorities/childrensSubjects/sj2021052330|http://id.loc.gov/rwo/agents/n79063979|http://id.loc.gov/authorities/childrensSubjects/sj2020050019|http://id.loc.gov/authorities/childrensSubjects/sj2021050349|http://id.loc.gov/authorities/childrensSubjects/sj2021052329|http://id.loc.gov/authorities/childrensSubjects/sj96006090,  2018060742,,9781432864583,2019,6,Q56811491,Utah,November 2022,Banned Pending Investigation,Formal Challenge,Granite School District,
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,22529659,"Acho, Emmanuel",no2020131369,Biographies,http://id.loc.gov/authorities/genreForms/gf2014026049,Anti-racism--Juvenile literature|United States--Race relations--Juvenile literature|Ethnic attitudes--Juvenile literature|United States--Race relations|Racism|Anti-racism|Racism--United States--Juvenile literature,http://id.loc.gov/authorities/subjects/sh85045166|http://id.loc.gov/authorities/subjects/sh99001674|http://id.loc.gov/authorities/subjects/sh2010109283|http://id.loc.gov/authorities/childrensSubjects/sj2021061712|http://id.loc.gov/authorities/subjects/sh2007000043|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2007100076,  2021279355,,9781250801067|1250801060,2021,0,,Florida,September 2022,Banned from Libraries,Formal Challenge,Clay County School District,
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,22529659,"Acho, Emmanuel",no2020131369,Biographies,http://id.loc.gov/authorities/genreForms/gf2014026049,Anti-racism--Juvenile literature|United States--Race relations--Juvenile literature|Ethnic attitudes--Juvenile literature|United States--Race relations|Racism|Anti-racism|Racism--United States--Juvenile literature,http://id.loc.gov/authorities/subjects/sh85045166|http://id.loc.gov/authorities/subjects/sh99001674|http://id.loc.gov/authorities/subjects/sh2010109283|http://id.loc.gov/authorities/childrensSubjects/sj2021061712|http://id.loc.gov/authorities/subjects/sh2007000043|http://id.loc.gov/authorities/childrensSubjects/sj2021051048|http://id.loc.gov/authorities/subjects/sh2007100076,  2021279355,,9781250801067|1250801060,2021,0,,Florida,September 2022,Banned Pending Investigation,Formal Challenge,Escambia County Public Schools,
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,14335626,"Aciman, André",no95007262,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,Teenage boys--Fiction|Authors--Fiction|Gay teenagers--Fiction|Italy--Fiction,http://id.loc.gov/authorities/subjects/sh2008104656|http://id.loc.gov/authorities/subjects/sh2008112614|http://id.loc.gov/authorities/subjects/sh2008117811|http://id.loc.gov/authorities/subjects/sh2007100550,  2006011720,,0374299218|9780374299217,2007,2,Q506102,Florida,January 2023,Banned from Libraries and Classrooms,Formal Challenge,St. John's County School District,https://thisismattmiller.s3.amazonaws.com/banned-metadata-2023/14335626.xml
Americanah,"Adichie, Chimamanda Ngozi",,,,,17568001,"Adichie, Chimamanda Ngozi, 1977-",n2003042876,Fiction,http://id.loc.gov/authorities/genreForms/gf2014026339,Immigrants--Fiction|Nigeria--Fiction|Nigerians--United States--Fiction|Nigerians--England--Fiction|Refugees--Fiction,http://id.loc.gov/authorities/subjects/sh85091898|http://id.loc.gov/rwo/agents/n82068148-781|http://id.loc.gov/rwo/agents/n78095330-781|http://id.loc.gov/authorities/subjects/sh2008108520|http://id.loc.gov/authorities/subjects/sh2008110582|http://id.loc.gov/authorities/subjects/sh2008104248|http://id.loc.gov/authorities/subjects/sh99001562,  2012043875,,9780307271082,2013,9,Q230141,Florida,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge,Clay County School District,https://thisismattmiller.s3.amazonaws.com/banned-metadata-2023/17568001.xml
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,14983817,"Adichie, Chimamanda Ngozi, 1977-",n2003042876,Political fiction|Historical fiction|Fiction,http://id.loc.gov/authorities/genreForms/gf2014026370|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/subjects/sh85104355,"Nigeria--History--1960---Fiction|Nigeria--History--Civil War, 1967-1970--Fiction",http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh99005024|http://id.loc.gov/rwo/agents/n79056412,  2007279788,,9781400095209,2007,9,Q230141,Florida,September 2022,Banned from Libraries and Classrooms,Formal Challenge,Clay County School District,https://thisismattmiller.s3.amazonaws.com/banned-metadata-2023/14983817.xml
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,14983817,"Adichie, Chimamanda Ngozi, 1977-",n2003042876,Political fiction|Historical fiction|Fiction,http://id.loc.gov/authorities/genreForms/gf2014026370|http://id.loc.gov/authorities/genreForms/gf2014026339|http://id.loc.gov/authorities/subjects/sh85104355,"Nigeria--History--1960---Fiction|Nigeria--History--Civil War, 1967-1970--Fiction",http://id.loc.gov/authorities/subjects/sh99001562|http://id.loc.gov/authorities/subjects/sh99005024|http://id.loc.gov/rwo/agents/n79056412,  2007279788,,9781400095209,2007,9,Q230141,South Carolina,October 2022,Banned Pending Investigation,Informal Challenge,Beaufort County School District,https://thisismattmiller.s3.amazonaws.com/banned-metadata-2023/14983817.xml
