title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
"Spy x Family, Vol. 3","Endo, Tatsuya",,,,Spy x Family,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Spy x Family, Vol. 4","Endo, Tatsuya",,,,Spy x Family,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Spy x Family, Vol. 5","Endo, Tatsuya",,,,Spy x Family,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Spy x Family, Vol. 6","Endo, Tatsuya",,,,Spy x Family,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Dear Diary, I'm Pregnant: Teenagers Talk About their Pregnancy","Englander, Anrenee",,"Martchenko, Michael",,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities","Erickson-Schroth, Laura",,,,,Wyoming,Natrona County Schools,October 2022,Banned Pending Investigation,Formal Challenge
Graphic Design: A New History,"Eskilson, Stephen J.",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Dead Inside,"Etler, Cyndy Drew",,,,,Texas,Frisco Independent School District,December 2022,Banned from Libraries and Classrooms,Administration
We Can't Be Friends: A True Story,"Etler, Cyndy Drew",,,,,Texas,Frisco Independent School District,December 2022,Banned from Libraries and Classrooms,Administration
Middlesex,"Eugenides, Jeffrey",,,,,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge
We March,"Evans, Shane W.",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Florida,Broward County Public Schools,October 2022,Banned from Libraries,Informal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Florida,Sarasota County Schools,April 2023,Banned from Libraries,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Lawn Boy,"Evison, Jonathan",,,,,Tennessee,Sumner County Schools,October 2022,Banned from Libraries and Classrooms,Informal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Lawn Boy,"Evison, Jonathan",,,,,Texas,Frisco Independent School District,August 2022,Banned from Libraries and Classrooms,Informal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
Lawn Boy,"Evison, Jonathan",,,,,Utah,Davis School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Utah,Granite School District,December 2022,Banned Pending Investigation,Formal Challenge
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Seminole County Public Schools,July 2022,Banned from Libraries,Formal Challenge
Huda F Are You?,"Fahmy, Huda",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
If You Could Be Mine,"Farizan, Sara",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Bodies Are Cool,"Feder, Tyler",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Better Nate Than Ever,"Federle, Tim",,,,Nate,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Great American Whatever,"Federle, Tim",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
The Story of Christmas (PF),"Fehlner, Paul",,,,A Golden Look-Look Book,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Zombies Don't Cry,"Fischer, Rusty",,,,Living Dead Love Story,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Animals of the Bible,"Fish, Helen Dean",,"Lathrop, Dorothy P.",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (LF),"Fisher, Leonard Everett",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Seven Days of Creation,"Fisher, Leonard Everett",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Wailing Wall,"Fisher, Leonard Everett",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Trans Teen Survival Guide,"Fisher, Owl","Fisher, Fox",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Renaissance,"Fitzpatrick, Anne",,,,Odysseys in Art,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Apparatus of Death - The Third Reich,"Flaherty, Thomas",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Rise and Fall of Charles Lindbergh,"Fleming, Candace",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Chupacabra,"Flitcroft, Jean",,,,The Cryptid Files,Texas,Frisco Independent School District,September 2022,Banned from Libraries,Administration
The Pacific Giants,"Flitcroft, Jean",,,,The Cryptid Files,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Adventures of a Kid Magician,"Flom, Justin","Flom-Hill, Judy; Flom, Scott","Blom, Drew",,From the Magical Life of Justin Flom,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Tattoo Atlas,"Floreen, Tim",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Willful Machines,"Floreen, Tim",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Utah,Davis School District,January 2023,Banned from Libraries,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Clay County School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
The Carnival at Bray,"Foley, Jessie Ann",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Carnival at Bray,"Foley, Jessie Ann",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Tennessee,Wilson County Schools,May 2023,Banned from Libraries,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Washington County School District,November 2022,Banned from Libraries and Classrooms,Informal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Virginia,Spotsylvania County Public Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,Indian River County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,The School District of Palm Beach County,July 2022,Banned Pending Investigation,Legislative Action
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,Volusia County Schools,March 2023,Banned from Libraries and Classrooms,Administration
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
Calvin,"Ford, J. R.",,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge
Calvin,"Ford, J. R.",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
Frankie & Bug,"Forman, Gayle",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
I Have Lost My Way,"Forman, Gayle",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
If I Stay,"Forman, Gayle",,,,If I Stay,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Where She Went,"Forman, Gayle",,,,If I Stay,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The History of Western Painting,"Forte, Virginia",,,,Britannica Guide to the Visual and Performing Arts,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
All the Bad Apples,"Fowley-Doyle, Moïra",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Overkill: Mass Murder and Serial Killing Exposed,"Fox, James Alan","Levin, Jack",,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Guess What?,"Fox, Mem",,"Goodman, Vivienne",,,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
America,"Frank, E. R.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
America,"Frank, E. R.",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
America,"Frank, E. R.",,,,,Virginia,Spotsylvania County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Dime,"Frank, E. R.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dime,"Frank, E. R.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Dime,"Frank, E. R.",,,,,Georgia,Forsyth County Schools,June 2023,Banned from Libraries,Formal Challenge
Dime,"Frank, E. R.",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Administration
Dime,"Frank, E. R.",,,,,Virginia,Spotsylvania County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Life is Funny,"Frank, E. R.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Life is Funny,"Frank, E. R.",,,,,Florida,Escambia County Public Schools,January 2023,Banned Pending Investigation,Formal Challenge
Life is Funny,"Frank, E. R.",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Life is Funny,"Frank, E. R.",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Life is Funny,"Frank, E. R.",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Administration
Life is Funny,"Frank, E. R.",,,,,Utah,Washington County School District,February 2023,Banned from Libraries and Classrooms,Administration
The Children's Christmas Pageant,"Frank, Marjorie",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Bingo Love #1,"Franklin, Tee",,"St. Onge, Jenn; San, Joy; FT, Genevieve",,,Florida,Escambia County Public Schools,June 2023,Banned Pending Investigation,Formal Challenge
Bingo Love #1,"Franklin, Tee",,"St. Onge, Jenn; San, Joy; FT, Genevieve",,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
Cheer Up: Love and Pompoms,"Frasier, Crystal","Wise, Val",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Big Questions Book of Sex and Consent,"Freitas, Donna",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration
Grit,"French, Gillian",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Grit,"French, Gillian",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Grit,"French, Gillian",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Grit,"French, Gillian",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
The Story of Christmas (VF),"French, Vivian",,"Chapman, Jane",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Gay Marriage (LSF),"Friedman, Lauri S.",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Lush,"Friend, Natasha",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Maid Sama,"Fujiwara, Hiro",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Book of Pride: LGBTQ Heroes Who Changed the World,"Funk, Mason",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady","Zuckerberg, J. R.",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Outlander,"Gabaldon, Diana",,,,Outlander,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
American Gods,"Gaiman, Neil",,,,American Gods,Michigan,Rapid River Public Schools,February 2023,Banned from Classrooms,Informal Challenge
American Gods,"Gaiman, Neil",,,,American Gods,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
"American Gods, Vol. 1: Shadows","Gaiman, Neil","Russell, P. Craig","Hampton, Scott; Simonson, Walt",,American Gods,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
"American Gods, Vol. 2: My Ainsel","Gaiman, Neil","Russell, P. Craig","Hampton, Scott",,American Gods,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
Anansi Boys,"Gaiman, Neil",,,,American Gods,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
The Facts in the Case of the Departure of Miss Finch,"Gaiman, Neil",,"Zulli, Michael",,,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge
The Ocean at the End of the Lane,"Gaiman, Neil",,,,,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
The Human Body in Action,"Gallavotti, Barbara",,,,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
Lobizona,"Garber, Romina",,,,Wolves of No World,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dreaming in Cuban,"García, Cristina",,,,,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Dreaming in Cuban,"García, Cristina",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Dreaming in Cuban,"García, Cristina",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Dreaming in Cuban,"García, Cristina",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Dreaming in Cuban,"García, Cristina",,,,,Utah,Granite School District,October 2022,Banned Pending Investigation,Formal Challenge
Dreaming in Cuban,"García, Cristina",,,,,Utah,Washington County School District,November 2022,Banned from Libraries and Classrooms,Informal Challenge
Broken Beautiful Hearts,"Garcia, Kami",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Symptoms of Being Human,"Garvin, Jeff",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
And Still I Rise: Black America Since MLK,"Gates, Henry L.","Burke, Kevin M.",,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Imprison the Sky,"Gaughen, A. C.",,,,The Elementae,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",,,,,Florida,Clay County School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
The Sacrifice of Darkness,"Gay, Roxane","Oliver, Tracy Lynne","Kirby, Rebecca; Fenner, James",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sacrifice of Darkness,"Gay, Roxane","Oliver, Tracy Lynne","Kirby, Rebecca; Fenner, James",,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
The Sacrifice of Darkness,"Gay, Roxane","Oliver, Tracy Lynne","Kirby, Rebecca; Fenner, James",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Remarkable Journey of Coyote Sunrise,"Gemeinhart, Dan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Grass,"Gendry-Kim, Keum Suk",,,"Hong, Janet",,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Lily and Dunkin,"Gephart, Donna",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Lily and Dunkin,"Gephart, Donna",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action
Lily and Dunkin,"Gephart, Donna",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
Lily and Dunkin,"Gephart, Donna",,,,,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge
Lily and Dunkin,"Gephart, Donna",,,,,Texas,Lake Travis Independent School District,January 2023,Banned from Libraries,Informal Challenge
Blue Window,"Gewirtz, Adina Rishe",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Girls Like Us (2015),"Giles, Gail",,,,,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Broward County Public Schools,October 2022,Banned from Libraries,Informal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
Melissa (George),"Gino, Alex",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
Melissa (George),"Gino, Alex",,,,,Nebraska,Plattsmouth Community Schools,April 2023,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Melissa (George),"Gino, Alex",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Melissa (George),"Gino, Alex",,,,,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge
Melissa (George),"Gino, Alex",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Melissa (George),"Gino, Alex",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Rick,"Gino, Alex",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
Rick,"Gino, Alex",,,,,Texas,Lake Travis Independent School District,March 2023,Banned from Libraries and Classrooms,Informal Challenge
Girl in Pieces,"Glasgow, Kathleen",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Girl in Pieces,"Glasgow, Kathleen",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Girl in Pieces,"Glasgow, Kathleen",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Making a Play,"Glines, Abbi",,,,The Field Party,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Vincent Boys,"Glines, Abbi",,,,The Vincent Boys,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
The Essential Salvador Dali,"Goff, Robert",,,,Essential Series,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Silent Christmas,"Goffin, Josse",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Journeys with Elijah: Eight Tales of the Prophet,"Goldin, Barbara Diamond",,"Pinkney, Jerry",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn","Rayne, Karen",,,,Virginia,Spotsylvania County Public Schools,April 2023,Banned Pending Investigation,Formal Challenge
A Gift for a Ghost,"González, Borja",,,"Douglas, Lee",,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Concealed,"Gonzalez, Christina Diaz",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Antonio's Card/La tarjeta de Antonio,"González, Rigoberto",,"Álvarez, Cecilia",,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
The Hill We Climb: An Inaugural Poem for the Country,"Gorman, Amanda",,,,,Florida,Miami-Dade Public Schools,March 2023,Banned from Libraries,Formal Challenge
Forever for a Year,"Gottfred, B. T.",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Forever for a Year,"Gottfred, B. T.",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
The Nerdy and the Dirty,"Gottfred, B. T.",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
The Nerdy and the Dirty,"Gottfred, B. T.",,,,,Texas,Keller Independent School District,April 2023,Banned from Libraries and Classrooms,Formal Challenge
Seeing Gender: An Illustrated Guide to Identity and Expression,"Gottlieb, Iris",,,,,Virginia,Loudoun County Public Schools,November 2022,Banned from Libraries and Classrooms,Formal Challenge
Dead and the Dark,"Gould, Courtney",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Essential Mary Cassatt,"Gouveia, Georgette",,,,Essential Series,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Ban This Book,"Gratz, Alan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Code of Honor,"Gratz, Alan",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Ground Zero,"Gratz, Alan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ground Zero,"Gratz, Alan",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ground Zero,"Gratz, Alan",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
Two Degrees,"Gratz, Alan",,,,,Pennsylvania,Kutztown School District,January 2023,Banned from Classrooms,Informal Challenge
"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Come Back to Me,"Gray, Mila",,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,March 2023,Banned from Libraries and Classrooms,Formal Challenge
Run Away With Me,"Gray, Mila",,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,March 2023,Banned from Libraries and Classrooms,Formal Challenge
Stay with Me,"Gray, Mila",,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,March 2023,Banned from Libraries and Classrooms,Formal Challenge
Icebreaker,"Graziadei, A. L.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
