title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Flagler Schools,October 2022,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Lake County Schools,Fall 2022,Banned from Libraries,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Michigan,Chippewa Valley Schools,January 2023,Banned from Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,North Carolina,Pender County Schools,February 2023,Banned from Libraries,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Informal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Utah,Davis School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration
I is for Immigrants,"Alko, Selina",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Hitler's Final Solution,"Allen, John",,,,Understanding the Holocaust,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The House of the Spirits,"Allende, Isabel",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The House of the Spirits,"Allende, Isabel",,,,,Florida,Lake County Schools,Fall 2022,Banned from Classrooms,Administration
Anne Hutchinson,"Aller, Susan Bivin",,,,History Maker Bios,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Giant Days,"Allison, John","Cogar, Whitney","Treiman, Lissa",,Giant Days,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,"Allison, John",,"Treiman, Lissa; Sarin, Max",,Giant Days,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,"Allison, John",,"Treiman, Lissa; Sarin, Max; Fleming, Liz",,Giant Days,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Before We Were Free,"Alvarez, Julia",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Usborne Book of Bible Stories,"Amery, Heather",,,,Bible Tales Readers,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
